順位,選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,DIPS
1,山本　由伸,オリックス,1.95,20,8,6,0,0,0.571,553,143,101,8,36,3,127,37,31,2.89
2,有原　航平,日本ハム,2.46,24,15,8,0,0,0.652,639,164.1,111,14,40,9,161,49,45,3.16
3,エスコバー,DeNA,2.51,74,5,4,0,33,0.556,306,75.1,60,7,24,2,88,23,21,2.95
4,大野　雄大,中日,2.58,25,9,8,0,0,0.529,696,177.2,132,18,43,2,156,52,51,3.41
5,ジョンソン,広島,2.59,27,11,8,0,0,0.579,650,156.2,132,12,58,4,132,50,45,3.58
6,榊原　翼,オリックス,2.72,13,3,4,0,0,0.429,333,79.1,64,5,37,5,59,29,24,4.04
7,フランスア,広島,2.76,67,8,6,12,18,0.571,308,71.2,55,8,32,7,94,29,22,3.37
8,千賀　滉大,ソフトバンク,2.79,26,13,8,0,0,0.619,752,180.1,134,19,75,8,227,60,56,3.34
9,ニール,西武,2.87,17,12,1,0,0,0.923,410,100.1,103,8,15,6,51,38,32,3.77
10,山口　俊,巨人,2.91,26,15,4,0,0,0.789,705,170,137,8,60,13,188,60,55,2.79
10,今永　昇太,DeNA,2.91,25,13,7,0,0,0.65,684,170,128,18,56,4,186,59,55,3.23
12,西　勇輝,阪神,2.92,26,10,8,0,0,0.556,702,172.1,159,12,36,9,112,60,56,3.47
13,床田　寛樹,広島,2.96,25,7,6,0,0,0.538,590,139.2,131,17,48,5,101,54,46,4.33
14,金子　弌大,日本ハム,3.04,26,8,7,0,2,0.533,460,109.2,106,10,40,0,75,42,37,4.03
15,青柳　晃洋,阪神,3.14,25,9,9,0,0,0.5,601,143.1,145,14,42,12,100,56,50,4.06
16,濵口　遥大,DeNA,3.17,17,6,5,0,1,0.545,341,82.1,59,8,38,3,85,33,29,3.78
17,髙橋　優貴,巨人,3.19,18,5,7,0,0,0.417,395,93,70,14,48,5,89,34,33,4.84
18,種市　篤暉,ロッテ,3.24,26,8,2,0,2,0.8,506,116.2,114,11,51,2,135,47,42,3.37
19,ロドリゲス,日本ハム,3.25,34,6,7,1,8,0.462,383,91.1,89,7,27,4,55,36,33,3.83
20,高橋　礼,ソフトバンク,3.34,23,12,6,0,0,0.667,584,143,114,10,49,11,73,56,53,4.27
21,平井　克典,西武,3.5,81,5,4,0,36,0.556,354,82.1,77,6,32,6,66,33,32,3.74
22,九里　亜蓮,広島,3.51,27,8,8,0,3,0.5,498,118,107,11,41,4,96,50,46,3.85
23,メルセデス,巨人,3.52,22,8,8,0,0,0.5,512,120.1,137,12,28,5,89,49,47,3.73
23,加藤　貴之,日本ハム,3.52,26,5,7,0,1,0.417,378,92,85,11,23,3,70,39,36,4
25,大瀬良　大地,広島,3.53,26,11,9,0,0,0.55,712,173.1,176,22,35,4,136,72,68,3.84
25,柳　裕也,中日,3.53,26,11,7,0,0,0.611,703,170.2,165,21,38,3,146,69,67,3.69
27,岸　孝之,楽天,3.56,15,3,5,0,0,0.375,381,93.2,80,12,25,1,86,37,37,3.75
28,石川　歩,ロッテ,3.64,27,8,5,0,5,0.615,503,118.2,129,9,28,4,81,50,48,3.52
28,岩下　大輝,ロッテ,3.64,21,5,3,0,1,0.625,406,96.1,80,14,47,2,74,44,39,4.97
30,山岡　泰輔,オリックス,3.71,26,13,4,0,0,0.765,699,170,154,16,45,4,154,77,70,3.38
31,髙橋　遥人,阪神,3.78,19,3,9,0,1,0.25,474,109.2,115,9,38,0,125,56,46,2.89
32,石橋　良太,楽天,3.82,28,8,7,0,0,0.533,535,127.1,116,20,35,6,71,60,54,5.01
32,大竹　耕太郎,ソフトバンク,3.82,17,5,4,0,0,0.556,442,106,111,13,20,4,72,47,45,4.01
34,石川　雅規,ヤクルト,3.84,23,8,6,0,0,0.571,514,124.1,117,18,26,4,88,57,53,4.26
35,菅野　智之,巨人,3.89,22,11,6,0,0,0.647,577,136.1,138,20,32,3,120,65,59,3.99
36,上茶谷　大河,DeNA,3.96,25,7,6,0,0,0.538,584,134,136,14,51,3,102,68,59,4.03
37,美馬　学,楽天,4.01,25,8,5,0,0,0.615,600,143.2,146,19,24,4,112,69,64,3.86
38,野村　祐輔,広島,4.06,18,6,5,0,0,0.545,414,95.1,96,6,34,2,65,52,43,3.64
39,今村　信貴,巨人,4.08,17,3,2,0,0,0.6,349,81.2,82,9,26,8,54,39,37,4.44
40,辛島　航,楽天,4.14,27,9,6,0,2,0.6,518,117.1,119,14,57,0,84,59,54,4.62
41,ミランダ,ソフトバンク,4.19,18,7,5,0,0,0.583,382,86,80,13,48,2,58,44,40,5.48
42,ロメロ,中日,4.26,21,8,10,0,0,0.444,503,116.1,106,19,55,4,105,57,55,4.93
43,Ｋ－鈴木,オリックス,4.31,19,4,6,0,0,0.4,451,102.1,100,15,49,3,88,56,49,4.83
44,今井　達也,西武,4.32,23,7,9,0,0,0.438,596,135.1,127,16,72,5,105,74,65,4.79
44,桜井　俊貴,巨人,4.32,29,8,6,0,0,0.571,472,108.1,109,12,42,4,82,53,52,4.32
44,アドゥワ　誠,広島,4.32,19,3,5,0,0,0.375,404,91.2,101,14,27,4,52,52,44,4.99
47,三嶋　一輝,DeNA,4.33,71,5,4,0,23,0.556,309,72.2,67,10,31,0,62,36,35,4.32
48,二木　康太,ロッテ,4.41,22,7,10,0,0,0.412,538,128.2,127,16,30,6,115,68,63,3.79
49,涌井　秀章,ロッテ,4.5,18,3,7,0,0,0.3,462,104,121,14,27,6,87,58,52,4.12
49,十亀　剣,西武,4.5,19,5,6,0,0,0.455,444,102,106,12,31,4,57,56,51,4.56
51,髙橋　光成,西武,4.51,21,10,6,0,0,0.625,554,123.2,144,13,47,14,90,77,62,4.49
52,岩田　稔,阪神,4.52,14,3,4,0,0,0.429,336,77.2,90,13,21,3,43,46,39,5.12
53,松本　航,西武,4.54,16,7,4,0,0,0.636,384,85.1,87,11,46,2,65,47,43,4.92
54,武田　翔太,ソフトバンク,4.55,32,5,3,1,9,0.625,361,83,78,6,40,4,70,48,42,3.96
55,小川　泰弘,ヤクルト,4.57,26,5,12,0,0,0.294,686,159.2,173,26,36,2,132,91,81,4.3
56,ボルシンガー,ロッテ,4.63,20,4,6,0,0,0.4,465,103,105,14,52,5,86,61,53,4.88
56,本田　圭佑,西武,4.63,16,6,6,0,0,0.5,375,91.1,88,13,28,3,53,48,47,4.83
58,メッセンジャー,阪神,4.67,14,3,7,0,0,0.3,336,79,71,11,38,2,55,45,41,5.02
59,ガルシア,阪神,4.69,21,6,8,0,0,0.429,473,103.2,123,8,40,6,79,66,54,3.84
60,ブキャナン,ヤクルト,4.79,18,4,6,0,0,0.4,438,99.2,118,10,33,4,58,56,53,4.37
61,原　樹理,ヤクルト,4.86,12,3,7,0,0,0.3,322,74,85,10,19,5,57,44,40,4.27
62,高橋　奎二,ヤクルト,5.76,20,4,6,0,0,0.4,438,95.1,99,14,53,8,99,68,61,4.81
63,高梨　裕稔,ヤクルト,6.23,21,5,7,0,0,0.417,358,78,90,13,34,4,82,56,54,4.65
